sentence,label
hi,greeting
hello,greeting
good morning,greeting
good evening,greeting
how are you,greeting
bye,goodbye
goodbye,goodbye
see you later,goodbye
thank you,thanks
thanks,thanks
who are you,identity
what is your name,identity
what courses are available,courses
list of courses,courses
which programs do you offer,courses
how can i apply,admission_process
admission procedure,admission_process
what is the admission process,admission_process
how to get admission,admission_process
what documents are required,documents
required documents,documents
which documents should i submit,documents
what is the eligibility,eligibility
eligibility criteria,eligibility
who can apply,eligibility
what is the last date,last_date
admission deadline,last_date
last date to apply,last_date
what is the fee,fees
fees structure,fees
how much is the tuition fee,fees
is hostel available,hostel
do you provide hostel,hostel
hostel facilities,hostel
where is the college located,location
college address,location
location of the college,location
is there any entrance exam,entrance_exam
do i need to give an entrance exam,entrance_exam
entrance test required,entrance_exam
xscs,garbage
sports,garbage
potter,garbage
drain,garbage
garbage,garbage
poot,garbage
hrtjhbhe,garbage
jkjsbh,garbage
kjdfhh,garbage
